Start: Thu Dec 13 23:28:47 CET 2018
cwd: /scratch/qiwang/MRS/test4
number of items: 1000, number of users: 10000
number of items: 1000, number of users: 10000
(1000, 10000)
the shape of original ratings. (# of row, # of col): (1000, 10000)
the shape of valid ratings. (# of row, # of col): (1000, 10000)
Total number of nonzero elements in origial data:1176952
Total number of nonzero elements in train data:1068598
Total number of nonzero elements in test data:108354
K = 20, lambda_u = 1.0, lambda_i = 1.0
learn the matrix factorization using SGD...
iter: 0, RMSE on training set: 0.9943875177642374.
iter: 5, RMSE on training set: 0.9950075800732577.
iter: 10, RMSE on training set: 0.9950123612790271.
iter: 15, RMSE on training set: 0.9950130418747818.
iter: 19, RMSE on training set: 0.9950131924653401.
RMSE on test data: 1.0033263389573979.
K = 20, lambda_u = 1.0, lambda_i = 0.1
learn the matrix factorization using SGD...
iter: 0, RMSE on training set: 0.9950093798843883.
iter: 5, RMSE on training set: 0.9950132433540557.
iter: 10, RMSE on training set: 0.9950136279431838.
iter: 15, RMSE on training set: 0.9950137239710632.
iter: 19, RMSE on training set: 0.9950137528267952.
RMSE on test data: 1.0033267227724094.
K = 20, lambda_u = 1.0, lambda_i = 0.01
learn the matrix factorization using SGD...
iter: 0, RMSE on training set: 0.9950128990066743.
iter: 5, RMSE on training set: 0.995003196437577.
iter: 10, RMSE on training set: 0.9949804993803361.
iter: 15, RMSE on training set: 0.994958337162109.
iter: 19, RMSE on training set: 0.9949470709774428.
RMSE on test data: 1.0032806263357064.
K = 20, lambda_u = 1.0, lambda_i = 0.001
learn the matrix factorization using SGD...
iter: 0, RMSE on training set: 0.9947137778237305.
iter: 5, RMSE on training set: 0.9869863366738275.
iter: 10, RMSE on training set: 0.9840164068213684.
iter: 15, RMSE on training set: 0.9831203501920713.
iter: 19, RMSE on training set: 0.9828106709589269.
RMSE on test data: 0.9955903855994175.
K = 20, lambda_u = 0.1, lambda_i = 1.0
learn the matrix factorization using SGD...
iter: 0, RMSE on training set: 0.9948165442142608.
iter: 5, RMSE on training set: 0.9949261650927139.
iter: 10, RMSE on training set: 0.9949510651430664.
iter: 15, RMSE on training set: 0.9949591138815176.
iter: 19, RMSE on training set: 0.9949616605623711.
RMSE on test data: 1.0032917497577218.
K = 20, lambda_u = 0.1, lambda_i = 0.1
learn the matrix factorization using SGD...
iter: 0, RMSE on training set: 0.9942355471082468.
iter: 5, RMSE on training set: 0.9893821290535579.
iter: 10, RMSE on training set: 0.9869289117722805.
iter: 15, RMSE on training set: 0.9861148446099379.
iter: 19, RMSE on training set: 0.9858461481410119.
RMSE on test data: 0.9971387898239774.
K = 20, lambda_u = 0.1, lambda_i = 0.01
learn the matrix factorization using SGD...
iter: 0, RMSE on training set: 0.9757683967192426.
